Estados,yogod,(,),{,solado,;,},?,yoint,yofloat,yobool,yochar,alfabeto,",",,int,float,bool,char,scanfi,printfi,+,“,eoq,holy,fon,circo,trab,soled,:,break,lag,id,!,==,!=,>,>=,<,<=,-,/,*,%,++,--,&&,||,TRUE,FALSE,=,número,underscore,$,S',YOGOD,EXPR,CMT,DV,TIPO,NOMEVAR,EV,VALOR,INOUT,INPUT,OUTPUT,OUTPUTVAR,OUTPUTTEXT,DE,CASOIF,CASOELSE,CASO,F,STMT,OP,OPARITMETICO,TERMOARITMETICO,FATORARITMETICO,UNARIO,OPLOGICO,TERMOLOGICO,FATORLOGICO,OPRELACIONAL,OPARITMETICO1,OPARITMETICO2,OPARITMETICO3,OPLOGICO1,OPLOGICO2,OA,ANU
87,,R18,R18,,,R18,,,,,,,,,R18,,,,,,,,,,,,,,,,,,R18,R18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
88,,R19,R19,,,R19,,,,,,,,,R19,,,,,,,,,,,,,,,,,,R19,R19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
89,,R20,R20,,,R20,,,,,,,,,R20,,,,,,,,,,,,,,,,,,R20,R20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
90,,,E118,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
91,,,,,,E119,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
92,,,E120,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
93,,E41,,,,,,E17,E23,E24,E25,E26,,,,,,,,E36,E37,,,E13,E14,E15,E16,,,,,,E39,E42,E30,E31,E32,E33,E34,E35,,,,,,,,,,,,,,,,,121,9,7,12,,,,11,21,22,,,8,,,,,,10,18,27,38,28,19,29,40,20,,,,,,,
94,,,R82,,,R82,,R82,,,,,,R82,,,,,,,,R82,R82,,,,,,,R82,,,,,,,,,,,,,,,,,,,,,R82,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
95,,,R83,,,R83,,R83,,,,,,R83,,,,,,,,R83,R83,,,,,,,R83,,,,,,,,,,,,,,,,,,,,,R83,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
96,,,R84,,,R84,,R84,,,,,,R84,,,,,,,,R84,R84,,,,,,,R84,,,,,,,,,,,,,,,,,,,,,R84,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
97,,R49,R49,,R49,R49,R49,R49,R49,R49,R49,R49,,,,,,,,R49,R49,,,R49,R49,R49,R49,,,,R49,,R49,R49,R49,R49,R49,R49,R49,R49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
